STT,Program,Threads,Time (seconds)
1,Sequential,1,3.979709
1,OpenMP,2,3.400825
1,OpenMP,4,2.073214
1,OpenMP,6,1.654534
1,OpenMP,8,2.179912
1,OpenMP,12,1.893082
1,Pthreads,2,4.926762
1,Pthreads,4,4.721931
1,Pthreads,6,6.220081
1,Pthreads,8,6.081774
1,Pthreads,12,5.335376
1,MPI,2,2.562762
1,MPI,4,1.579945
1,MPI,6,1.087031
1,MPI,8,0.819949
1,MPI,12,0.590608
2,Sequential,1,4.185276
2,OpenMP,2,3.305914
2,OpenMP,4,2.138703
2,OpenMP,6,1.760338
2,OpenMP,8,1.711107
2,OpenMP,12,1.802969
2,Pthreads,2,5.929987
2,Pthreads,4,5.490136
2,Pthreads,6,5.952363
2,Pthreads,8,5.892946
2,Pthreads,12,6.135886
2,MPI,2,2.578169
2,MPI,4,1.557856
2,MPI,6,1.101191
2,MPI,8,0.838068
2,MPI,12,0.590329
3,Sequential,1,3.951958
3,OpenMP,2,3.812438
3,OpenMP,4,2.325429
3,OpenMP,6,1.790880
3,OpenMP,8,1.736508
3,OpenMP,12,1.993268
3,Pthreads,2,6.341586
3,Pthreads,4,5.956893
3,Pthreads,6,6.295918
3,Pthreads,8,5.826550
3,Pthreads,12,5.882437
3,MPI,2,2.585634
3,MPI,4,1.537578
3,MPI,6,1.105372
3,MPI,8,0.837246
3,MPI,12,0.574695
4,Sequential,1,3.950295
4,OpenMP,2,3.272280
4,OpenMP,4,2.191616
4,OpenMP,6,1.852945
4,OpenMP,8,1.672312
4,OpenMP,12,1.797462
4,Pthreads,2,5.668400
4,Pthreads,4,5.232268
4,Pthreads,6,6.081408
4,Pthreads,8,4.967102
4,Pthreads,12,5.775044
4,MPI,2,2.621423
4,MPI,4,1.578849
4,MPI,6,1.104359
4,MPI,8,0.908111
4,MPI,12,0.581201
5,Sequential,1,4.025607
5,OpenMP,2,3.285223
5,OpenMP,4,2.099958
5,OpenMP,6,1.798567
5,OpenMP,8,1.786020
5,OpenMP,12,1.870435
5,Pthreads,2,4.762709
5,Pthreads,4,6.018397
5,Pthreads,6,5.597673
5,Pthreads,8,5.668339
5,Pthreads,12,5.587378
5,MPI,2,2.608008
5,MPI,4,1.584053
5,MPI,6,1.110177
5,MPI,8,0.830048
5,MPI,12,0.585509
6,Sequential,1,3.949024
6,OpenMP,2,3.335027
6,OpenMP,4,2.195677
6,OpenMP,6,1.763214
6,OpenMP,8,1.817772
6,OpenMP,12,1.862337
6,Pthreads,2,6.280260
6,Pthreads,4,6.215648
6,Pthreads,6,5.798379
6,Pthreads,8,5.830392
6,Pthreads,12,6.152386
6,MPI,2,2.604078
6,MPI,4,1.581531
6,MPI,6,1.103380
6,MPI,8,0.850948
6,MPI,12,0.595802
7,Sequential,1,3.986235
7,OpenMP,2,3.272980
7,OpenMP,4,2.232958
7,OpenMP,6,1.657159
7,OpenMP,8,1.572685
7,OpenMP,12,1.722570
7,Pthreads,2,5.524295
7,Pthreads,4,6.363467
7,Pthreads,6,6.291412
7,Pthreads,8,6.349802
7,Pthreads,12,5.750662
7,MPI,2,2.572930
7,MPI,4,1.604872
7,MPI,6,1.110965
7,MPI,8,0.813308
7,MPI,12,0.566630
8,Sequential,1,3.973080
8,OpenMP,2,3.355235
8,OpenMP,4,2.225393
8,OpenMP,6,1.809576
8,OpenMP,8,1.742908
8,OpenMP,12,2.130676
8,Pthreads,2,5.861991
8,Pthreads,4,5.022961
8,Pthreads,6,6.558754
8,Pthreads,8,5.522499
8,Pthreads,12,5.641310
8,MPI,2,2.604061
8,MPI,4,1.558375
8,MPI,6,1.098848
8,MPI,8,0.844546
8,MPI,12,0.591496
9,Sequential,1,3.985871
9,OpenMP,2,3.281754
9,OpenMP,4,2.269211
9,OpenMP,6,1.720122
9,OpenMP,8,1.686696
9,OpenMP,12,1.744480
9,Pthreads,2,5.309978
9,Pthreads,4,5.843513
9,Pthreads,6,5.613990
9,Pthreads,8,5.674321
9,Pthreads,12,6.047199
9,MPI,2,2.607191
9,MPI,4,1.575044
9,MPI,6,1.112116
9,MPI,8,0.854654
9,MPI,12,0.591423
10,Sequential,1,4.087667
10,OpenMP,2,3.331580
10,OpenMP,4,2.130620
10,OpenMP,6,1.846552
10,OpenMP,8,1.713991
10,OpenMP,12,2.018091
10,Pthreads,2,6.031438
10,Pthreads,4,6.227216
10,Pthreads,6,5.738154
10,Pthreads,8,5.610172
10,Pthreads,12,5.875686
10,MPI,2,2.606590
10,MPI,4,1.583885
10,MPI,6,1.097963
10,MPI,8,0.821710
10,MPI,12,0.589561
11,Sequential,1,3.929107
11,OpenMP,2,3.280232
11,OpenMP,4,2.223271
11,OpenMP,6,1.660143
11,OpenMP,8,1.578037
11,OpenMP,12,1.950428
11,Pthreads,2,5.027769
11,Pthreads,4,5.907626
11,Pthreads,6,5.444844
11,Pthreads,8,5.366990
11,Pthreads,12,5.661017
11,MPI,2,2.586266
11,MPI,4,1.575415
11,MPI,6,1.107120
11,MPI,8,0.833613
11,MPI,12,0.568210
12,Sequential,1,3.979680
12,OpenMP,2,3.269328
12,OpenMP,4,2.072286
12,OpenMP,6,1.820378
12,OpenMP,8,1.678595
12,OpenMP,12,1.807797
12,Pthreads,2,6.475386
12,Pthreads,4,5.455873
12,Pthreads,6,5.539634
12,Pthreads,8,5.788328
12,Pthreads,12,5.882639
12,MPI,2,2.602912
12,MPI,4,1.599039
12,MPI,6,1.093256
12,MPI,8,0.839680
12,MPI,12,0.574346
13,Sequential,1,3.992762
13,OpenMP,2,3.241631
13,OpenMP,4,2.179688
13,OpenMP,6,1.643353
13,OpenMP,8,1.654817
13,OpenMP,12,2.061509
13,Pthreads,2,6.261214
13,Pthreads,4,5.517492
13,Pthreads,6,4.773794
13,Pthreads,8,6.601895
13,Pthreads,12,4.785809
13,MPI,2,2.607430
13,MPI,4,1.616477
13,MPI,6,1.106850
13,MPI,8,0.872464
13,MPI,12,0.566533
14,Sequential,1,3.938659
14,OpenMP,2,3.383995
14,OpenMP,4,2.173343
14,OpenMP,6,1.769516
14,OpenMP,8,1.657549
14,OpenMP,12,1.722453
14,Pthreads,2,5.731709
14,Pthreads,4,5.369130
14,Pthreads,6,5.410197
14,Pthreads,8,5.977970
14,Pthreads,12,6.095145
14,MPI,2,2.588016
14,MPI,4,1.659280
14,MPI,6,1.101974
14,MPI,8,0.826737
14,MPI,12,0.593150
15,Sequential,1,3.943332
15,OpenMP,2,3.454757
15,OpenMP,4,2.275693
15,OpenMP,6,1.748409
15,OpenMP,8,1.639567
15,OpenMP,12,1.825179
15,Pthreads,2,5.362099
15,Pthreads,4,5.778636
15,Pthreads,6,5.407324
15,Pthreads,8,5.946883
15,Pthreads,12,5.355067
15,MPI,2,2.574822
15,MPI,4,1.630819
15,MPI,6,1.092832
15,MPI,8,0.814851
15,MPI,12,0.605104
16,Sequential,1,3.951230
16,OpenMP,2,3.383117
16,OpenMP,4,2.290055
16,OpenMP,6,1.670573
16,OpenMP,8,1.751974
16,OpenMP,12,2.004408
16,Pthreads,2,5.082009
16,Pthreads,4,5.921230
16,Pthreads,6,5.666957
16,Pthreads,8,5.104758
16,Pthreads,12,6.140599
16,MPI,2,2.553665
16,MPI,4,1.550756
16,MPI,6,1.095198
16,MPI,8,0.845893
16,MPI,12,0.564216
17,Sequential,1,3.965547
17,OpenMP,2,3.337184
17,OpenMP,4,2.294170
17,OpenMP,6,1.706499
17,OpenMP,8,1.748756
17,OpenMP,12,1.883729
17,Pthreads,2,5.681425
17,Pthreads,4,6.660512
17,Pthreads,6,6.162738
17,Pthreads,8,4.766486
17,Pthreads,12,6.179654
17,MPI,2,2.625854
17,MPI,4,1.579511
17,MPI,6,1.092056
17,MPI,8,0.822931
17,MPI,12,0.589342
18,Sequential,1,3.951144
18,OpenMP,2,3.262782
18,OpenMP,4,2.219505
18,OpenMP,6,1.626235
18,OpenMP,8,1.733129
18,OpenMP,12,1.940981
18,Pthreads,2,5.649895
18,Pthreads,4,5.851273
18,Pthreads,6,5.130028
18,Pthreads,8,5.220850
18,Pthreads,12,5.811096
18,MPI,2,2.591471
18,MPI,4,1.565724
18,MPI,6,1.095973
18,MPI,8,0.831307
18,MPI,12,0.568411
19,Sequential,1,3.985084
19,OpenMP,2,3.249113
19,OpenMP,4,2.236912
19,OpenMP,6,1.756893
19,OpenMP,8,1.816951
19,OpenMP,12,1.796536
19,Pthreads,2,6.069270
19,Pthreads,4,5.974325
19,Pthreads,6,5.409790
19,Pthreads,8,5.768825
19,Pthreads,12,5.393145
19,MPI,2,2.617955
19,MPI,4,1.566710
19,MPI,6,1.086849
19,MPI,8,0.835041
19,MPI,12,0.566551
20,Sequential,1,3.931511
20,OpenMP,2,3.308174
20,OpenMP,4,2.188094
20,OpenMP,6,1.722359
20,OpenMP,8,1.717958
20,OpenMP,12,1.785989
20,Pthreads,2,6.427433
20,Pthreads,4,6.134209
20,Pthreads,6,5.292929
20,Pthreads,8,6.337895
20,Pthreads,12,6.218240
20,MPI,2,2.552430
20,MPI,4,1.587847
20,MPI,6,1.096454
20,MPI,8,0.866285
20,MPI,12,0.596640
21,Sequential,1,4.016437
21,OpenMP,2,3.298012
21,OpenMP,4,2.165756
21,OpenMP,6,1.733108
21,OpenMP,8,1.680670
21,OpenMP,12,1.930922
21,Pthreads,2,6.175271
21,Pthreads,4,5.784213
21,Pthreads,6,4.815424
21,Pthreads,8,5.373477
21,Pthreads,12,5.999970
21,MPI,2,2.596144
