STT,Program,Threads,Time (seconds)
1,Pthreads,2,0.072967
1,Pthreads,4,0.054776
1,Pthreads,6,0.097255
1,Pthreads,8,0.081265
1,Pthreads,12,0.056883
2,Pthreads,2,0.084553
2,Pthreads,4,0.019812
2,Pthreads,6,0.095722
2,Pthreads,8,0.019424
2,Pthreads,12,0.062493
3,Pthreads,2,0.060840
3,Pthreads,4,0.067596
3,Pthreads,6,0.048249
3,Pthreads,8,0.056961
3,Pthreads,12,0.029502
4,Pthreads,2,0.034145
4,Pthreads,4,0.070565
4,Pthreads,6,0.063173
4,Pthreads,8,0.018857
4,Pthreads,12,0.093759
5,Pthreads,2,0.051482
5,Pthreads,4,0.073103
5,Pthreads,6,0.019406
5,Pthreads,8,0.062976
5,Pthreads,12,0.074465
6,Pthreads,2,0.023572
6,Pthreads,4,0.073938
6,Pthreads,6,0.040011
6,Pthreads,8,0.103869
6,Pthreads,12,0.038683
7,Pthreads,2,0.090921
7,Pthreads,4,0.100167
7,Pthreads,6,0.098879
7,Pthreads,8,0.039391
7,Pthreads,12,0.039225
8,Pthreads,2,0.085130
8,Pthreads,4,0.043250
8,Pthreads,6,0.106354
8,Pthreads,8,0.090497
8,Pthreads,12,0.062356
9,Pthreads,2,0.056719
9,Pthreads,4,0.099569
9,Pthreads,6,0.042325
9,Pthreads,8,0.023325
9,Pthreads,12,0.079269
10,Pthreads,2,0.096729
10,Pthreads,4,0.061677
10,Pthreads,6,0.098248
10,Pthreads,8,0.087690
10,Pthreads,12,0.065605
11,Pthreads,2,0.038504
11,Pthreads,4,0.077892
11,Pthreads,6,0.100144
11,Pthreads,8,0.079995
11,Pthreads,12,0.075211
12,Pthreads,2,0.063180
12,Pthreads,4,0.094665
12,Pthreads,6,0.040063
12,Pthreads,8,0.055263
12,Pthreads,12,0.094082
13,Pthreads,2,0.045615
13,Pthreads,4,0.081396
13,Pthreads,6,0.018980
13,Pthreads,8,0.084456
13,Pthreads,12,0.100814
14,Pthreads,2,0.025958
14,Pthreads,4,0.080784
14,Pthreads,6,0.096032
14,Pthreads,8,0.060999
14,Pthreads,12,0.075422
15,Pthreads,2,0.072073
15,Pthreads,4,0.063364
15,Pthreads,6,0.080066
15,Pthreads,8,0.050961
